observacao_id,observacao_data,coord_sistema,coord_x,coord_y,coord_precisao,coord_fonte,pais_id,estado_id,municipio_id,amostra_tipo,amostra_quanti,amostra_area,taxon_sibcs_2006,relevo_local,relevo_elevacao,relevo_declividade,relevo_posicao
#metadado>,Data da observação,Sistema de referência de coordenadas,Longitude,Latitude,Precisão das coordenadas,Fonte das coordenadas,País,Unidade federativa,Município,Tipo de amostragem,Quantidade de subamostras,Área amostral,Classificação do solo,Classe de relevo local,Elevação acima do nível do mar,Declividade,Posição na paisagem
#metadado>,-,-,m,m,m,-,-,-,-,-,-,m^2,-,-,m,%,-
L55,xx-xx-2011,EPSG:29192,496.494,7.378.567,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Eutrófico fragmentário, textura média, A moderado",ondulado,802,-,-
L56,xx-xx-2011,EPSG:29192,496.394,7.378.732,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,771,19,topo
L57,xx-xx-2011,EPSG:29192,500.396,7.378.228,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",suave ondulado,802,-,-
L58,xx-xx-2011,EPSG:29192,500.851,7.377.291,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Latossolo Vermelho Distroférrico típico, textura muito argilosa, A moderado",ondulado,778,12,-
L59,xx-xx-2011,EPSG:29192,501.422,7.377.440,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado, fase erodida",forte ondulado,717,24,terço inferior
L60,xx-xx-2011,EPSG:29192,504.041,7.376.520,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico léptico, textura muito argilosa, A moderado",ondulado,709,-,-
L61,xx-xx-2011,EPSG:29192,504.032,7.376.569,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Litólico Eutrófico fragmentário, textura média, A moderado, fase erodida",montanhoso,697,48,-
L62,xx-xx-2011,EPSG:29192,505.013,7.375.138,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico fragmentário, textura média, A moderado",forte ondulado,728,-,-
L63,xx-xx-2011,EPSG:29192,507.562,7.375.129,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Nitossolo Vermelho Eutroférrico típico, textura muito argilosa, A moderado",ondulado,661,20,terço inferior
L64,xx-xx-2011,EPSG:29192,509.272,7.374.707,10,GPS,BR,PR,Londrina,SIMPLES,1,1,"Neossolo Regolítico Eutrófico fragmentário, textura média, A moderado",montanhoso,569,-,-
