observacao_id,camada_id,camada_nome,amostra_id,profund_sup,profund_inf,areia_xxx_xxx,silte_xxx_xxx,argila_xxx_xxx,fosforo_xxx_xxx,carbono_xxx_xxx_xxx,ph_h2o_xxx_xxx,ph_cacl2_xxx_xxx,aluminio_kcl_xxx,acidez_potencial_xxx,calcio_trocavel_xxx,magnesio_trocavel_xxx,potassio_trocavel_xxx,bases_soma,ctc_xxx_xxx,bases_saturacao,aluminio_saturacao_calc
#metadado>,Identificação da camada,Símbolo do horizonte,Código da amostra,Profundidade superior,Profundidade inferior,Areia total,Silte total,Argila total,P,Carbono orgânico,pH H2O,pH CaCl2,Al,H+Al,Ca,Mg,K,Soma de bases,Capacidade de troca de cátions ,Saturação por bases,Saturação por Al
#metadado>,-,-,-,cm,cm,dag/kg,dag/kg,dag/kg,mg/dm^3,g/dm^3,-,-,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,cmolc/dm^3,%,%
L39,2,Bw,1,50,70,-,-,-,"1,6","23,10","4,6",-,"0,64","10,45","1,65","1,89","0,1","3,64","14,09",26,15
L4,1,Ap,1,0,20,-,-,-,"19,4","16,60","5,2",-,0,"5,34","5,42","2,59","0,68","8,69","14,03",62,0
L4,2,Bw,1,60,80,-,-,-,"2,7","7,50","4,3",-,"1,1",9,"1,85","0,98","0,05","2,88","11,88",24,28
L40,1,Ap,1,0,20,-,-,-,"9,5","26,80","5,7",-,0,"4,6","8,37","2,92","0,33","11,62","16,22",72,0
L40,2,Bw,1,50,70,-,-,-,1,"17,50","4,5",-,"0,45",9,"0,97","0,94","0,03","1,94","10,94",18,19
L41,1,Ap,1,0,20,-,-,-,"6,7","22,00","4,5",-,"0,4",9,"4,92","1,72","0,59","7,23","16,23",45,5
L41,2,Bt,1,50,70,-,-,-,"1,7","8,10","5,3",-,0,"4,27","5,3","0,82","0,07","6,19","10,46",59,0
L42,1,Ap,1,0,20,-,-,-,11,"15,00","5,9",-,0,"3,68","7,65","3,04","0,56","11,25","14,93",75,0
L42,2,Bt,1,50,70,-,-,-,"2,5","8,20","5,3",-,0,"4,96","5,12","2,26","0,05","7,43","12,39",60,0
L44,1,Ap,1,0,20,"10,0","17,0","73,0","7,9","18,60","5,1",-,0,"6,2","7,25","2,46","0,53","10,24","16,44",62,0
L44,2,Bt,1,50,70,"5,0","10,0","85,0","1,3","8,60","4,9",-,"0,04","5,34","4,72","1,43","0,14","6,29","11,63",54,1
